Exported by,ExportComments.com,,,,,,,
Source URL,https://youtube.com/shorts/PVbGO_SdyPs?si=dUapxM6k3Vh_lMGO,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
138,,@mm9112001,21/06/23 17:56:29,0,no,no,Is it astronauts or astrophysicist?,view comment
139,,@milantamang1640,21/06/23 19:55:33,0,no,no,"Ye Tara?
Kaun sa tata kuch naam hai ya - mumy Kasam scripted hai.",view comment
140,,@nirupdas2743,21/06/23 22:17:13,0,no,no,"That is shiv Shiva, black dark matter is Shiva",view comment
141,,@sachinparasher5260,22/06/23 03:38:13,0,no,no,Phli baat to ye dark meter ni hai ye black hole hai,view comment
142,,@ankitsikarwar9205,22/06/23 06:12:26,0,no,no,"sab kuch sanatan dharm ki books me likha tha vo sb utha le gye sale suar
ab unhi pr research kr rhe h jo proof ho jati h use theory bta dete h",view comment
143,,@tsmtopsecretmystery8219,22/06/23 06:26:39,0,no,no,*Truth* ....  *This concept Bharatya Vedic Science* ??,view comment
144,,@strikersoccer9535,22/06/23 07:07:01,14,no,no,Na ye tera matter hai na ye mera matter hai ye toh dark matter hai ??,view comment
145,,@indianninja1423,22/06/23 08:23:45,0,no,no,????? ???? ?? ??? ?? ??????? ?? ??? ?? ???? ????? ?? ??? ?? ?? ????? ?? ?? ???????,view comment
146,,@souravjoshi3590,22/06/23 08:46:28,0,no,no,Bhagwat Geeta me sb h ?,view comment
147,,@sumonamondal4631,22/06/23 11:02:10,0,no,no,Sab bhagban ki leela hai,view comment
148,,@sjnkhadaka5613,22/06/23 14:10:03,0,no,no,Ff ufufufugorhf uhh gxux go ffgifi tx HV hfjcucj txt TT g GG xuSuxixich tx tx go f hi uci FFc gchd yfysyfui FFc fhggc tx,view comment
149,,@AngryMillennial,22/06/23 16:57:44,5,no,no,Bhaiya 73% dark energy hai matter nahi.,view comment
150,,@shravslol,22/06/23 17:18:12,0,no,no,"The first video is actually is representation of a star ""S2"" orbiting a supermassive blackhole ""Sagittarius A"" which exists in the center of our galaxy",view comment
151,,@babygirl8181980411,22/06/23 17:22:26,0,no,no,"If you title in English, SPEAK ENGLISH, IDIOT!!",view comment
152,,@6dealer9,23/06/23 03:22:32,0,no,no,"Stop saying science ki samjh that's why I unsubscribed u,??",view comment
153,,@vanivlogs9118,23/06/23 04:28:40,0,no,no,"Ho skta iski khoj bohot pehle ho chuki ho, iske liye aaj ke scientists ko Rigved ko study karna hoga or use decode karna hoga. Santan Dharm is the only way to find the truth.",view comment
154,,@ShriBhaktiGanga-tg9lr,23/06/23 05:07:28,0,no,no,"Are bhai Tara or brahmand ki bat chhodo prutvi par 5 din pahle Jo sabmarin se smpark kata to use Puri duniya dhundh Rahi hai or vo nahi mil Rahi kuchh sal pahle Jo plen gayab huva vo abhi Tak nahi mila pahle pruthvi par to dhundho... 
Ye fek gnan padha padha ke kya karte ho nasaa ho ya koi bhi yaha pruthvi pe kuchhh milta nahi or bbahar kya ho Raha hai uska fek news felate rahte ho",view comment
155,,@wild-gear,23/06/23 05:51:08,0,no,no,Are bhai astronaut nahi astronomers,view comment
156,,@divyeshvadhavana8954,23/06/23 06:35:27,2,no,no,"Scientist: universe is dark matter.
Then what is dark matter ?
Also scientist: ????(we don't know)",view comment
157,,@ManojKumar-jp3kq,23/06/23 06:50:43,0,no,no,Yaha bhi politics,view comment
158,,@ManojKumar-jp3kq,23/06/23 06:51:09,0,no,no,Only Indian scientists,view comment
159,,@Huacheng654,23/06/23 06:54:31,0,no,no,Should at least give credit to Astrokobi,view comment
160,,@atulpandey5026,23/06/23 09:51:55,0,no,no,Hmm ye Tara tumko hi dikh raha Baaki sab chutiya hai world me,view comment
161,,@harshalparab95,23/06/23 11:09:15,0,no,no,It covers 95 % of universe matter and not 73 %. Wrong. Info.,view comment
162,,@rudeboy3923,23/06/23 12:36:10,0,no,no,Dark matter gravity ka part hai jo 5th dimension me hai,view comment
163,,@ganeshsingh7969,23/06/23 14:34:56,0,no,no,Agar dark matter Mein energy Hai To vah Kisi Na negative Re Mein dikhna chahie,view comment
164,,@funved3371,23/06/23 15:52:23,0,no,no,What is the definition of a star???,view comment
165,,@khalidahamadahamad834,23/06/23 17:24:47,0,no,no,Allah Hu Akbar ???,view comment
166,,@bhaskarsharma3920,23/06/23 17:26:51,0,no,no,Chutiya gyan kuchh smjha nhi paaye na paoge aapko smjh chuke be,view comment
167,,@user-jo7ts9vh8t,23/06/23 23:50:04,0,no,no,Dhi,view comment
168,,@jodhpuraabhishek6428,24/06/23 04:45:44,0,no,no,Whichever things in universe you can identify by hindu purans only,view comment
169,,@HalfL60,24/06/23 10:01:34,0,no,no,you stole this,view comment
170,,@kshitijbujade7298,24/06/23 10:37:07,0,no,no,Blackhole must be shivas third eye which absorb and stored and destroy everything,view comment
171,,@realvinitswami,24/06/23 11:54:11,0,no,no,Mahadev ????,view comment
172,,@VisitorWay,24/06/23 12:36:04,0,no,no,?? ???? ???? ??? ?? ????? ?? ?????? ??????? ?? ?????? ???? ??? ????? ????? ????? ????? ??? ???? ??? ??? ?? ???? ?? ???? ?? ??? ?? ??????? ?? ????? ??? ????? ??? ?? ???? ?? ???,view comment
173,,@manish__kumar,24/06/23 14:31:06,0,no,no,"Don't give wrong information Dark matter not covered 73 percent, dark energy cover 73 percent,and astronaut not think astronomer thinks that this matter become with dark metter",view comment
174,,@HarshRajgor-kj2mq,24/06/23 14:49:10,0,no,no,Muje bahot aachha lagata hai,view comment
175,,@muhammedsaleem-op9bh,24/06/23 16:10:40,0,no,no,???,view comment
176,,@Funsiestype,24/06/23 17:51:54,0,no,no,Stolen video with Hindi dub. Shame on Indians.,view comment
177,,@ceruelion815,24/06/23 18:30:48,2,no,no,I love how the entire Hindi language is like when they shove random English words into anime openings.,view comment
178,,@SushilBesra-cr5ve,24/06/23 19:38:03,0,no,no,Sushil ??,view comment
179,,@prajwalshetty3391,25/06/23 02:33:56,0,no,no,"Is information ka main Karu kya??
Gaon Jane k liye b train k paise purey nahi padthe flight b afford nahi kar sakte toh space k baare main Jaan k kya karenge??",view comment
180,,@nithin6296,25/06/23 03:19:53,0,no,no,It would be great if you could make one video on your own with your own research. Copying and changing the language doesn’t make you a scientist.,view comment
181,,@user-gp7sp6cz8n,25/06/23 10:31:02,0,no,no,https://youtu.be/aOPXOlFQ1Lc,view comment
182,,@chinnanarsimulu4006,25/06/23 13:07:40,1,no,no,Back matter means Bhagavan VISHNU,view comment
183,,@jaychandravbhovi1984,25/06/23 13:14:20,1,no,no,Wahi taara mere gf ke liye thod lawunga,view comment
184,,@farukahmed2445,25/06/23 16:16:55,0,no,no,Dark mater is nothing yea carbon particles hai,view comment
185,,@AfricanLionBat,25/06/23 17:30:19,0,no,no,The title says dark matter planet. It's most a black hole amd not a dark matter star but its still cool one could theoretically exist.,view comment
186,,@Parasolutions108,26/06/23 00:20:06,0,no,no,Maha kali,view comment
187,,@santoshkumar-he8mw,26/06/23 03:14:00,0,no,no,??? ????? ???? ????? ???? star ???? ?? ?? ????? ???? ????? ????? ?? star ?? ???? ???? ???? ?? ??? ???? ???? ??? star ???? ???? ??,view comment
188,,@Aviation-220,26/06/23 06:07:59,0,no,no,Very nice Video ??,view comment
189,,@maniguna1081,26/06/23 18:36:58,0,no,no,May be coal and diamond forming formula,view comment
190,,@Leveldoom,27/06/23 05:20:46,0,no,no,Indian scientist dusro ka video edit ??,view comment
191,,@amitmanhas3981,27/06/23 05:24:49,0,no,no,Scientists tai science ki ma ki chood science fadu,view comment
192,,@amirkhan-ex9pz,27/06/23 05:25:35,0,no,no,????????????,view comment
193,,@sfslegendsx8849,27/06/23 06:44:47,0,no,no,Its should be scientist instead of astronaut,view comment
194,,@studywithsermaaakash7046,27/06/23 08:16:34,0,no,no,?? L content,view comment
195,,@Life_Captured92,27/06/23 10:44:57,0,no,no,Dark matter abhi v scientific prove nhi hua hai..wo star blackhole ko chakkar kat rha hai,view comment
196,,@phoenixlegend2538,27/06/23 14:27:25,0,no,no,The only way to find these is gravity ??,view comment
197,,@sshivanigoud5456,27/06/23 15:34:59,0,no,no,NASA should search in our solar system they will find dark matter rahu and ketu ??,view comment
198,,@rashidmalik9741,27/06/23 20:42:16,0,no,no,AOA SURAH YOUSUF 11 PLANETS SUN AND MOON IN SOLAR SYSTEM,view comment
199,,@darkwolf2275,28/06/23 05:23:08,0,no,no,"Galat information mat de.. Kaha se mila yeh information? Guve the source.
Kuvh bhi bole ja raha hai.",view comment
